t_s,delta,counts,rpm_raw,rpm_filt
6600.800,0,-21320,0.00,0.00
6600.900,0,-21320,0.00,0.00
6601.000,0,-21320,0.00,0.00
6601.100,0,-21320,0.00,0.00
6601.200,0,-21320,0.00,0.00
6601.300,0,-21320,0.00,0.00
6601.400,0,-21320,0.00,0.00
6601.500,0,-21320,0.00,0.00
6601.600,0,-21320,0.00,0.00
6601.700,0,-21320,0.00,0.00
6601.800,0,-21320,0.00,0.00
6601.900,0,-21320,0.00,0.00
6602.000,0,-21320,0.00,0.00
6602.100,0,-21320,0.00,0.00
6602.200,0,-21320,0.00,0.00
6602.300,0,-21320,0.00,0.00
6602.400,0,-21320,0.00,0.00
6602.500,0,-21320,0.00,0.00
6602.600,0,-21320,0.00,0.00
6602.700,0,-21320,0.00,0.00
6602.800,0,-21320,0.00,0.00
6602.900,0,-21320,0.00,0.00
6603.000,0,-21320,0.00,0.00
6603.100,0,-21320,0.00,0.00
6603.200,0,-21320,0.00,0.00
6603.300,0,-21320,0.00,0.00
6603.400,0,-21320,0.00,0.00
6603.500,0,-21320,0.00,0.00
6603.600,0,-21320,0.00,0.00
6603.700,0,-21320,0.00,0.00
6603.800,0,-21320,0.00,0.00
6603.900,0,-21320,0.00,0.00
6604.000,0,-21320,0.00,0.00
6604.100,0,-21320,0.00,0.00
6604.200,0,-21320,0.00,0.00
6604.300,0,-21320,0.00,0.00
6604.400,0,-21320,0.00,0.00
6604.500,0,-21320,0.00,0.00
6604.600,0,-21320,0.00,0.00
6604.700,0,-21320,0.00,0.00
6604.800,0,-21320,0.00,0.00
6604.900,0,-21320,0.00,0.00
6605.000,0,-21320,0.00,0.00
6605.100,0,-21320,0.00,0.00
6605.200,0,-21320,0.00,0.00
6605.300,0,-21320,0.00,0.00
6605.400,0,-21320,0.00,0.00
6605.500,0,-21320,0.00,0.00
6605.600,0,-21320,0.00,0.00
6605.700,0,-21320,0.00,0.00
6605.800,0,-21320,0.00,0.00
6605.900,0,-21320,0.00,0.00
6606.000,0,-21320,0.00,0.00
6606.100,0,-21320,0.00,0.00
6606.200,0,-21320,0.00,0.00
6606.300,0,-21320,0.00,0.00
6606.400,0,-21320,0.00,0.00
6606.500,0,-21320,0.00,0.00
6606.600,0,-21320,0.00,0.00
6606.700,0,-21320,0.00,0.00
6606.800,0,-21320,0.00,0.00
6606.900,0,-21320,0.00,0.00
6607.000,0,-21320,0.00,0.00
6607.100,0,-21320,0.00,0.00
6607.200,0,-21320,0.00,0.00
6607.300,0,-21320,0.00,0.00
6607.400,0,-21320,0.00,0.00
6607.500,0,-21320,0.00,0.00
6607.600,0,-21320,0.00,0.00
6607.700,0,-21320,0.00,0.00
6607.800,0,-21320,0.00,0.00
6607.900,0,-21320,0.00,0.00
6608.000,0,-21320,0.00,0.00
6608.100,0,-21320,0.00,0.00
6608.200,0,-21320,0.00,0.00
6608.300,0,-21320,0.00,0.00
6608.400,0,-21320,0.00,0.00
6608.500,0,-21320,0.00,0.00
6608.600,0,-21320,0.00,0.00
6608.700,0,-21320,0.00,0.00
6608.800,0,-21320,0.00,0.00
6608.900,0,-21320,0.00,0.00
6609.000,0,-21320,0.00,0.00
6609.100,0,-21320,0.00,0.00
6609.200,0,-21320,0.00,0.00
6609.300,0,-21320,0.00,0.00
6609.400,0,-21320,0.00,0.00
6609.500,0,-21320,0.00,0.00
6609.600,0,-21320,0.00,0.00
6609.700,0,-21320,0.00,0.00
6609.800,0,-21320,0.00,0.00
6609.900,0,-21320,0.00,0.00
6610.000,0,-21320,0.00,0.00
6610.100,0,-21320,0.00,0.00
6610.200,0,-21320,0.00,0.00
6610.300,0,-21320,0.00,0.00
6610.400,0,-21320,0.00,0.00
6610.500,0,-21320,0.00,0.00
6610.600,0,-21320,0.00,0.00
6610.700,0,-21320,0.00,0.00
6610.800,0,-21320,0.00,0.00
6610.900,0,-21320,0.00,0.00
6611.000,0,-21320,0.00,0.00
6611.100,0,-21320,0.00,0.00
6611.200,0,-21320,0.00,0.00
6611.300,0,-21320,0.00,0.00
6611.400,0,-21320,0.00,0.00
6611.500,0,-21320,0.00,0.00
6611.600,0,-21320,0.00,0.00
6611.700,0,-21320,0.00,0.00
6611.800,0,-21320,0.00,0.00
6611.900,0,-21320,0.00,0.00
6612.000,0,-21320,0.00,0.00
6612.100,0,-21320,0.00,0.00
6612.200,0,-21320,0.00,0.00
6612.300,0,-21320,0.00,0.00
6612.400,0,-21320,0.00,0.00
6612.500,0,-21320,0.00,0.00
6612.600,0,-21320,0.00,0.00
6612.700,0,-21320,0.00,0.00
6612.800,0,-21320,0.00,0.00
6612.900,0,-21320,0.00,0.00
6613.000,0,-21320,0.00,0.00
6613.100,0,-21320,0.00,0.00
6613.200,0,-21320,0.00,0.00
6613.300,0,-21320,0.00,0.00
6613.400,0,-21320,0.00,0.00
6613.500,0,-21320,0.00,0.00
6613.600,0,-21320,0.00,0.00
6613.700,0,-21320,0.00,0.00
6613.800,0,-21320,0.00,0.00
6613.900,0,-21320,0.00,0.00
6614.000,0,-21320,0.00,0.00
6614.100,0,-21320,0.00,0.00
6614.200,0,-21320,0.00,0.00
6614.300,0,-21320,0.00,0.00
6614.400,0,-21320,0.00,0.00
6614.500,0,-21320,0.00,0.00
6614.600,0,-21320,0.00,0.00
