t_ms,seg,rpm,speed_raw,curr_raw,curr_A
t_ms,seg,cmd_rpm,speed_raw,curr_raw,curr_A
349,0,0,0,0,0.000
449,0,0,0,0,0.000
549,0,0,0,0,0.000
649,0,0,0,0,0.000
749,0,0,0,0,0.000
849,0,0,0,0,0.000
949,0,0,0,0,0.000
1049,0,0,0,0,0.000
1149,0,0,0,0,0.000
1252,0,0,0,0,0.000
1352,0,0,0,0,0.000
1452,0,0,0,0,0.000
1552,0,0,0,0,0.000
1652,0,0,0,0,0.000
1752,0,0,0,0,0.000
1852,0,0,0,0,0.000
1952,0,0,0,0,0.000
2052,1,1500,0,0,0.000
2152,1,1500,0,0,0.000
2252,1,1500,0,0,0.000
2352,1,1500,0,0,0.000
2452,1,1500,0,0,0.000
2552,1,1500,0,0,0.000
2652,1,1500,0,0,0.000
2752,1,1500,190,0,0.000
2852,1,1500,190,0,0.000
2952,1,1500,190,0,0.000
3052,1,1500,190,0,0.000
3152,1,1500,190,0,0.000
3252,1,1500,190,0,0.000
3352,1,1500,190,0,0.000
3452,1,1500,190,0,0.000
3552,1,1500,190,0,0.000
3652,1,1500,190,0,0.000
3752,1,1500,780,0,0.000
3853,1,1500,780,0,0.000
3953,1,1500,780,0,0.000
4053,1,1500,780,0,0.000
4153,1,1500,780,0,0.000
4253,1,1500,780,0,0.000
4353,1,1500,780,0,0.000
4453,1,1500,780,0,0.000
4553,1,1500,780,0,0.000
4653,1,1500,780,0,0.000
4753,1,1500,1460,0,0.000
4853,1,1500,1460,0,0.000
4953,1,1500,1460,0,0.000
5053,1,1500,1460,0,0.000
5153,1,1500,1460,0,0.000
5253,1,1500,1460,0,0.000
5353,1,1500,1460,0,0.000
5453,1,1500,1460,0,0.000
5553,1,1500,1460,0,0.000
5653,1,1500,1460,0,0.000
5753,1,1500,1510,0,0.000
5853,1,1500,1510,0,0.000
5953,1,1500,1510,0,0.000
6053,1,1500,1510,0,0.000
6153,1,1500,1510,0,0.000
6253,1,1500,1510,1,0.040
6353,1,1500,1510,1,0.040
6453,1,1500,1510,9,0.360
6553,1,1500,1510,9,0.360
6653,1,1500,1510,28,1.120
6754,1,1500,1480,28,1.120
6854,1,1500,1480,40,1.600
6954,1,1500,1480,40,1.600
7054,1,1500,1480,53,2.120
7154,1,1500,1480,53,2.120
7254,1,1500,1480,63,2.520
7354,1,1500,1480,63,2.520
7454,1,1500,1480,66,2.640
7554,1,1500,1480,66,2.640
7654,1,1500,1480,47,1.880
7754,1,1500,1500,47,1.880
7854,1,1500,1500,3,0.120
7954,1,1500,1500,3,0.120
8054,1,1500,1500,0,0.000
8154,1,1500,1500,0,0.000
8254,1,1500,1500,0,0.000
8354,1,1500,1500,0,0.000
8454,1,1500,1500,0,0.000
8554,1,1500,1500,0,0.000
8654,1,1500,1500,0,0.000
8754,1,1500,1620,0,0.000
8854,1,1500,1620,0,0.000
8954,1,1500,1620,0,0.000
9054,1,1500,1620,0,0.000
9154,1,1500,1620,0,0.000
9254,1,1500,1620,0,0.000
9354,1,1500,1620,0,0.000
9454,1,1500,1620,0,0.000
9554,1,1500,1620,0,0.000
9654,1,1500,1620,0,0.000
9754,1,1500,1500,0,0.000
9854,1,1500,1500,0,0.000
9954,1,1500,1500,0,0.000
10054,2,0,1500,0,0.000
10154,2,0,1500,0,0.000
10254,2,0,1500,0,0.000
10354,2,0,1500,0,0.000
10454,2,0,1500,0,0.000
10554,2,0,1500,0,0.000
10654,2,0,1500,0,0.000
10754,2,0,1120,0,0.000
